run,round,mode,f1,recall,fpr
glfl_k1,64,federated,85.3600,74.4900,0.0030
glfl_k1,65,federated,85.3600,74.4900,0.0030
glfl_k1,66,federated,85.3600,74.4900,0.0030
glfl_k1,67,federated,85.3600,74.4900,0.0030
glfl_k1,68,federated,85.3600,74.4900,0.0030
glfl_k1,69,federated,85.3600,74.4900,0.0030
glfl_k1,70,federated,85.3600,74.4900,0.0030
glfl_k1,71,federated,85.3764,74.4841,0.0000
glfl_k1,72,federated,85.3764,74.4841,0.0000
glfl_k1,73,federated,85.3764,74.4841,0.0000
glfl_k1,74,federated,85.3764,74.4841,0.0000
glfl_k1,75,federated,85.3764,74.4841,0.0000
glfl_k1,76,federated,85.3764,74.4841,0.0000
glfl_k1,77,federated,85.3764,74.4841,0.0000
glfl_k1,78,federated,85.3764,74.4841,0.0000
glfl_k1,79,federated,85.3764,74.4841,0.0000
glfl_k1,80,federated,85.3764,74.4841,0.0000
glfl_k1,81,federated,85.3764,74.4841,0.0000
glfl_k1,82,federated,85.3764,74.4841,0.0000
glfl_k1,83,federated,85.3764,74.4841,0.0000
glfl_k1,84,federated,85.3764,74.4841,0.0000
glfl_k1,85,federated,85.3764,74.4841,0.0000
glfl_k1,86,federated,85.3764,74.4841,0.0000
glfl_k1,87,federated,85.3764,74.4841,0.0000
glfl_k1,88,federated,85.3764,74.4841,0.0000
glfl_k1,89,federated,85.3764,74.4841,0.0000
glfl_k1,90,federated,85.3764,74.4841,0.0000
flgl_k2,1,federated,87.6333,78.0071,0.0017
flgl_k2,2,federated,87.6333,78.0071,0.0017
flgl_k2,3,federated,87.6333,78.0071,0.0017
flgl_k2,4,federated,87.6333,78.0071,0.0017
flgl_k2,5,federated,87.6333,78.0071,0.0017
flgl_k2,6,federated,87.6333,78.0071,0.0017
flgl_k2,7,federated,87.6333,78.0071,0.0017
flgl_k2,8,federated,87.6333,78.0071,0.0017
flgl_k2,9,federated,87.6333,78.0071,0.0017
flgl_k2,10,federated,87.6333,78.0071,0.0017
flgl_k2,11,gossip,87.6333,78.0071,0.0017
